date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:12	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/xiaoqiang_${tanlu[0][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/xiaoqiang_${tanlu[0][2]}.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:12	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/code.jquery.com/jquery-3.6.0.min.js	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:12	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/dayanzai_${tanlu[1][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/dayanzai_${tanlu[1][0]}.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:12	28831/28831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-709f%22	http://tb.lva-online.vip/bac1/js/grid.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/js/grid.js	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:12	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/xiaolu_${tanlu[1][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/xiaolu_${tanlu[1][1]}.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:13	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac1/img/icon/xiaoqiang_${tanlu[1][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac1/img/icon/xiaoqiang_${tanlu[1][2]}.svg	(from http://tb.lva-online.vip/bac1/tb1.html)
14:08:13	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%2269bc55d1-537%22	http://tb.lva-online.vip/bac2/css/grid.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/css/grid.css	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:13	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac2/img/icon/red/b.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/red/b.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:14	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac2/img/icon/blue/p.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/blue/p.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:14	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/dayanzai_${tanlu[0][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/dayanzai_${tanlu[0][0]}.2a.delayed	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:14	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/xiaolu_${tanlu[0][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/xiaolu_${tanlu[0][1]}.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:15	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/xiaoqiang_${tanlu[0][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/xiaoqiang_${tanlu[0][2]}.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:15	28831/28831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-709f%22	http://tb.lva-online.vip/bac2/js/grid.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/js/grid.js	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:15	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/dayanzai_${tanlu[1][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/dayanzai_${tanlu[1][0]}.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:15	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/xiaolu_${tanlu[1][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/xiaolu_${tanlu[1][1]}.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:15	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac2/img/icon/xiaoqiang_${tanlu[1][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/img/icon/xiaoqiang_${tanlu[1][2]}.svg	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:16	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%2269bc55d1-537%22	http://tb.lva-online.vip/bac3/css/grid.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/css/grid.css	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:16	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac3/img/icon/red/b.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/red/b.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:16	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%2269bc55d1-254dc%22	http://tb.lva-online.vip/font/fontawesome-webfont.ttf	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/font/fontawesome-webfont.ttf	(from http://tb.lva-online.vip/css/font-awesome.css)
14:08:16	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac3/img/icon/blue/p.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/blue/p.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:17	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/dayanzai_${tanlu[0][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/dayanzai_${tanlu[0][0]}.35.delayed	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:17	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/xiaolu_${tanlu[0][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/xiaolu_${tanlu[0][1]}.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:17	28831/28831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-709f%22	http://tb.lva-online.vip/bac3/js/grid.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/js/grid.js	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:17	138012/138012	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-21b1c%22	http://tb.lva-online.vip/bac2/js/jsmpeg.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac2/js/jsmpeg.min.js	(from http://tb.lva-online.vip/bac2/tb1.html)
14:08:18	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/xiaoqiang_${tanlu[0][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/xiaoqiang_${tanlu[0][2]}.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:18	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/dayanzai_${tanlu[1][0]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/dayanzai_${tanlu[1][0]}.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:18	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/xiaolu_${tanlu[1][1]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/xiaolu_${tanlu[1][1]}.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:18	138/138	---M--	404	error ('Not%20Found')	text/html	etag:%2269bc55a0-8a%22	http://tb.lva-online.vip/bac3/img/icon/xiaoqiang_${tanlu[1][2]}.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/img/icon/xiaoqiang_${tanlu[1][2]}.svg	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:19	1335/1335	---MCZ	200	added ('OK')	text/css	etag:W/%2269bc55d1-537%22	http://tb.lva-online.vip/bac5/css/grid.css	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/css/grid.css	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:19	138012/138012	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269bc55d1-21b1c%22	http://tb.lva-online.vip/bac3/js/jsmpeg.min.js	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac3/js/jsmpeg.min.js	(from http://tb.lva-online.vip/bac3/tb1.html)
14:08:19	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac5/img/icon/red/b.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/red/b.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
14:08:19	405/405	---M--	200	added ('OK')	image/svg+xml	etag:%2269bc55d1-195%22	http://tb.lva-online.vip/bac5/img/icon/blue/p.svg	C:/Users/Designer/Desktop/Test%20Web/Test%20live/tb.lva-online.vip/bac5/img/icon/blue/p.svg	(from http://tb.lva-online.vip/bac5/tb1.html)
